127.0.0.1 - - [26/Oct/2019:17:04:24 -0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [26/Oct/2019:17:04:30 -0300] "GET /primeraWeb1/formPOST/TPN3/ejercicio1/primeraPag.jsp HTTP/1.1" 200 1733
0:0:0:0:0:0:0:1 - - [26/Oct/2019:17:05:15 -0300] "POST /primeraWeb1/formPOST/TPN3/ejercicio1/segundaPag.jsp HTTP/1.1" 200 348
0:0:0:0:0:0:0:1 - - [26/Oct/2019:17:06:12 -0300] "GET /primeraWeb1/formPOST/TPN3/ejercicio1/primeraPag.jsp HTTP/1.1" 200 1733
0:0:0:0:0:0:0:1 - - [26/Oct/2019:17:06:29 -0300] "POST /primeraWeb1/formPOST/TPN3/ejercicio1/segundaPag.jsp HTTP/1.1" 200 353
0:0:0:0:0:0:0:1 - - [26/Oct/2019:17:11:54 -0300] "GET /primeraWeb1/formPOST/TPN3/ejercicio1/primeraPag.jsp HTTP/1.1" 200 1733
0:0:0:0:0:0:0:1 - - [26/Oct/2019:17:11:59 -0300] "POST /primeraWeb1/formPOST/TPN3/ejercicio1/segundaPag.jsp HTTP/1.1" 200 287
0:0:0:0:0:0:0:1 - - [26/Oct/2019:17:28:15 -0300] "GET /primeraWeb1/formPOST/TPN3/ejercicio1/primeraPag.jsp HTTP/1.1" 200 1733
0:0:0:0:0:0:0:1 - - [26/Oct/2019:17:28:38 -0300] "POST /primeraWeb1/formPOST/TPN3/ejercicio1/segundaPag.jsp HTTP/1.1" 200 280
0:0:0:0:0:0:0:1 - - [26/Oct/2019:19:15:18 -0300] "GET /primeraWeb1/formPOST/TPN3/ejercicio1/primeraPag.jsp HTTP/1.1" 200 1733
0:0:0:0:0:0:0:1 - - [26/Oct/2019:19:15:19 -0300] "GET /primeraWeb1/formPOST/TPN3/ejercicio1/primeraPag.jsp HTTP/1.1" 200 1733
0:0:0:0:0:0:0:1 - - [26/Oct/2019:19:15:42 -0300] "POST /primeraWeb1/formPOST/TPN3/ejercicio1/segundaPag.jsp HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [26/Oct/2019:19:22:24 -0300] "GET /primeraWeb1/formPOST/TPN3/ejercicio1/primeraPag.jsp HTTP/1.1" 200 1733
0:0:0:0:0:0:0:1 - - [26/Oct/2019:19:22:34 -0300] "POST /primeraWeb1/formPOST/TPN3/ejercicio1/segundaPag.jsp HTTP/1.1" 200 404
0:0:0:0:0:0:0:1 - - [26/Oct/2019:19:25:11 -0300] "GET /primeraWeb1/formPOST/TPN3/ejercicio1/primeraPag.jsp HTTP/1.1" 200 1774
0:0:0:0:0:0:0:1 - - [26/Oct/2019:19:25:45 -0300] "GET /primeraWeb1/formPOST/TPN3/ejercicio1/primeraPag.jsp HTTP/1.1" 200 1821
0:0:0:0:0:0:0:1 - - [26/Oct/2019:19:25:47 -0300] "GET /primeraWeb1/formPOST/TPN3/ejercicio1/primeraPag.jsp HTTP/1.1" 200 1821
0:0:0:0:0:0:0:1 - - [26/Oct/2019:19:26:59 -0300] "GET /primeraWeb1/formPOST/TPN3/ejercicio1/primeraPag.jsp HTTP/1.1" 200 1860
0:0:0:0:0:0:0:1 - - [26/Oct/2019:19:27:40 -0300] "GET /primeraWeb1/formPOST/TPN3/ejercicio1/primeraPag.jsp HTTP/1.1" 200 1859
0:0:0:0:0:0:0:1 - - [26/Oct/2019:19:29:36 -0300] "GET /primeraWeb1/formPOST/TPN3/ejercicio1/primeraPag.jsp HTTP/1.1" 200 1899
0:0:0:0:0:0:0:1 - - [26/Oct/2019:19:30:01 -0300] "GET /primeraWeb1/formPOST/TPN3/ejercicio1/primeraPag.jsp HTTP/1.1" 200 1925
0:0:0:0:0:0:0:1 - - [26/Oct/2019:19:35:03 -0300] "GET /primeraWeb1/formPOST/TPN3/ejercicio1/primeraPag.jsp HTTP/1.1" 200 1974
0:0:0:0:0:0:0:1 - - [26/Oct/2019:19:35:25 -0300] "GET /primeraWeb1/formPOST/TPN3/ejercicio1/primeraPag.jsp HTTP/1.1" 200 1973
0:0:0:0:0:0:0:1 - - [26/Oct/2019:19:35:57 -0300] "GET /primeraWeb1/formPOST/TPN3/ejercicio1/primeraPag.jsp HTTP/1.1" 200 1973
0:0:0:0:0:0:0:1 - - [26/Oct/2019:19:36:32 -0300] "GET /primeraWeb1/formPOST/TPN3/ejercicio1/primeraPag.jsp HTTP/1.1" 200 1994
