127.0.0.1 - - [07/Nov/2020:15:16:00 -0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [07/Nov/2020:15:16:07 -0300] "GET /primeraWeb1/ManejoSesiones/inicio.jsp HTTP/1.1" 200 543
0:0:0:0:0:0:0:1 - - [07/Nov/2020:15:16:21 -0300] "POST /primeraWeb1/ManejoSesiones/recepcion_login.jsp HTTP/1.1" 200 495
0:0:0:0:0:0:0:1 - - [07/Nov/2020:15:16:26 -0300] "GET /primeraWeb1/ManejoSesiones/datos.jsp HTTP/1.1" 200 1101
0:0:0:0:0:0:0:1 - - [07/Nov/2020:15:16:35 -0300] "GET /primeraWeb1/ManejoSesiones/datos.jsp HTTP/1.1" 200 1101
0:0:0:0:0:0:0:1 - - [07/Nov/2020:15:16:39 -0300] "GET /primeraWeb1/ManejoSesiones/software.jsp HTTP/1.1" 200 957
0:0:0:0:0:0:0:1 - - [07/Nov/2020:15:16:40 -0300] "GET /primeraWeb1/ManejoSesiones/datos.jsp HTTP/1.1" 200 1101
0:0:0:0:0:0:0:1 - - [07/Nov/2020:15:16:48 -0300] "POST /primeraWeb1/ManejoSesiones/cargaDatos.jsp HTTP/1.1" 200 772
0:0:0:0:0:0:0:1 - - [07/Nov/2020:15:16:52 -0300] "GET /primeraWeb1/ManejoSesiones/software.jsp HTTP/1.1" 200 957
0:0:0:0:0:0:0:1 - - [07/Nov/2020:15:16:59 -0300] "POST /primeraWeb1/ManejoSesiones/cargaDatos.jsp HTTP/1.1" 200 738
0:0:0:0:0:0:0:1 - - [07/Nov/2020:15:19:02 -0300] "GET /primeraWeb1/ManejoSesiones/datos.jsp HTTP/1.1" 200 1101
0:0:0:0:0:0:0:1 - - [07/Nov/2020:15:19:10 -0300] "GET /primeraWeb1/ManejoSesiones/ticket.jsp HTTP/1.1" 200 814
0:0:0:0:0:0:0:1 - - [07/Nov/2020:15:19:19 -0300] "GET /primeraWeb1/ManejoSesiones/datos.jsp HTTP/1.1" 200 1101
0:0:0:0:0:0:0:1 - - [07/Nov/2020:15:19:22 -0300] "POST /primeraWeb1/ManejoSesiones/cargaDatos.jsp HTTP/1.1" 200 810
0:0:0:0:0:0:0:1 - - [07/Nov/2020:15:19:37 -0300] "GET /primeraWeb1/ManejoSesiones/cerrarS.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Nov/2020:15:19:37 -0300] "GET /primeraWeb1/ManejoSesiones/inicio.jsp HTTP/1.1" 200 543
0:0:0:0:0:0:0:1 - - [07/Nov/2020:15:19:45 -0300] "POST /primeraWeb1/ManejoSesiones/recepcion_login.jsp HTTP/1.1" 200 495
0:0:0:0:0:0:0:1 - - [07/Nov/2020:15:19:47 -0300] "GET /primeraWeb1/ManejoSesiones/datos.jsp HTTP/1.1" 200 1101
0:0:0:0:0:0:0:1 - - [07/Nov/2020:15:19:54 -0300] "POST /primeraWeb1/ManejoSesiones/cargaDatos.jsp HTTP/1.1" 200 809
0:0:0:0:0:0:0:1 - - [07/Nov/2020:15:20:35 -0300] "POST /primeraWeb1/ManejoSesiones/cargaDatos.jsp HTTP/1.1" 200 772
0:0:0:0:0:0:0:1 - - [07/Nov/2020:15:20:39 -0300] "GET /primeraWeb1/ManejoSesiones/cerrarS.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Nov/2020:15:20:39 -0300] "GET /primeraWeb1/ManejoSesiones/inicio.jsp HTTP/1.1" 200 543
0:0:0:0:0:0:0:1 - - [07/Nov/2020:15:21:09 -0300] "POST /primeraWeb1/ManejoSesiones/recepcion_login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Nov/2020:15:21:09 -0300] "GET /primeraWeb1/ManejoSesiones/inicio.jsp HTTP/1.1" 200 543
0:0:0:0:0:0:0:1 - - [07/Nov/2020:15:21:15 -0300] "POST /primeraWeb1/ManejoSesiones/recepcion_login.jsp HTTP/1.1" 200 495
0:0:0:0:0:0:0:1 - - [07/Nov/2020:15:21:16 -0300] "GET /primeraWeb1/ManejoSesiones/datos.jsp HTTP/1.1" 200 1100
0:0:0:0:0:0:0:1 - - [07/Nov/2020:15:21:23 -0300] "POST /primeraWeb1/ManejoSesiones/cargaDatos.jsp HTTP/1.1" 200 771
0:0:0:0:0:0:0:1 - - [07/Nov/2020:15:21:32 -0300] "GET /primeraWeb1/ManejoSesiones/software.jsp HTTP/1.1" 200 956
0:0:0:0:0:0:0:1 - - [07/Nov/2020:15:21:36 -0300] "POST /primeraWeb1/ManejoSesiones/cargaDatos.jsp HTTP/1.1" 200 737
0:0:0:0:0:0:0:1 - - [07/Nov/2020:15:23:58 -0300] "GET /primeraWeb1/ManejoSesiones/ticket.jsp HTTP/1.1" 200 831
0:0:0:0:0:0:0:1 - - [07/Nov/2020:15:30:13 -0300] "GET /primeraWeb1/ManejoSesiones/cerrarS.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Nov/2020:15:30:13 -0300] "GET /primeraWeb1/ManejoSesiones/inicio.jsp HTTP/1.1" 200 543
0:0:0:0:0:0:0:1 - - [07/Nov/2020:15:30:21 -0300] "POST /primeraWeb1/ManejoSesiones/recepcion_login.jsp HTTP/1.1" 200 495
0:0:0:0:0:0:0:1 - - [07/Nov/2020:15:30:22 -0300] "GET /primeraWeb1/ManejoSesiones/datos.jsp HTTP/1.1" 200 1101
0:0:0:0:0:0:0:1 - - [07/Nov/2020:15:30:28 -0300] "POST /primeraWeb1/ManejoSesiones/cargaDatos.jsp HTTP/1.1" 200 737
0:0:0:0:0:0:0:1 - - [07/Nov/2020:15:30:30 -0300] "GET /primeraWeb1/ManejoSesiones/software.jsp HTTP/1.1" 200 957
0:0:0:0:0:0:0:1 - - [07/Nov/2020:15:30:34 -0300] "POST /primeraWeb1/ManejoSesiones/cargaDatos.jsp HTTP/1.1" 200 737
0:0:0:0:0:0:0:1 - - [07/Nov/2020:15:30:36 -0300] "GET /primeraWeb1/ManejoSesiones/ticket.jsp HTTP/1.1" 200 923
0:0:0:0:0:0:0:1 - - [07/Nov/2020:15:32:29 -0300] "GET /primeraWeb1/ManejoSesiones/cerrarS.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Nov/2020:15:32:29 -0300] "GET /primeraWeb1/ManejoSesiones/inicio.jsp HTTP/1.1" 200 543
0:0:0:0:0:0:0:1 - - [07/Nov/2020:15:32:34 -0300] "POST /primeraWeb1/ManejoSesiones/recepcion_login.jsp HTTP/1.1" 200 495
0:0:0:0:0:0:0:1 - - [07/Nov/2020:15:32:35 -0300] "GET /primeraWeb1/ManejoSesiones/datos.jsp HTTP/1.1" 200 1101
0:0:0:0:0:0:0:1 - - [07/Nov/2020:15:32:37 -0300] "GET /primeraWeb1/ManejoSesiones/ticket.jsp HTTP/1.1" 200 820
0:0:0:0:0:0:0:1 - - [07/Nov/2020:15:46:26 -0300] "GET /primeraWeb1/ManejoSesiones/cerrarS.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Nov/2020:15:46:26 -0300] "GET /primeraWeb1/ManejoSesiones/inicio.jsp HTTP/1.1" 200 543
0:0:0:0:0:0:0:1 - - [07/Nov/2020:15:46:36 -0300] "POST /primeraWeb1/ManejoSesiones/recepcion_login.jsp HTTP/1.1" 200 495
0:0:0:0:0:0:0:1 - - [07/Nov/2020:15:46:37 -0300] "GET /primeraWeb1/ManejoSesiones/datos.jsp HTTP/1.1" 200 1101
0:0:0:0:0:0:0:1 - - [07/Nov/2020:15:46:45 -0300] "POST /primeraWeb1/ManejoSesiones/cargaDatos.jsp HTTP/1.1" 200 737
0:0:0:0:0:0:0:1 - - [07/Nov/2020:15:46:47 -0300] "GET /primeraWeb1/ManejoSesiones/software.jsp HTTP/1.1" 200 957
0:0:0:0:0:0:0:1 - - [07/Nov/2020:15:46:52 -0300] "POST /primeraWeb1/ManejoSesiones/cargaDatos.jsp HTTP/1.1" 200 737
0:0:0:0:0:0:0:1 - - [07/Nov/2020:15:46:57 -0300] "GET /primeraWeb1/ManejoSesiones/adicionales.jsp HTTP/1.1" 200 553
0:0:0:0:0:0:0:1 - - [07/Nov/2020:15:47:02 -0300] "POST /primeraWeb1/ManejoSesiones/cargaDatos.jsp HTTP/1.1" 200 737
0:0:0:0:0:0:0:1 - - [07/Nov/2020:15:47:06 -0300] "GET /primeraWeb1/ManejoSesiones/ticket.jsp HTTP/1.1" 200 1045
0:0:0:0:0:0:0:1 - - [07/Nov/2020:15:50:05 -0300] "GET /primeraWeb1/ManejoSesiones/ticket.jsp HTTP/1.1" 200 1099
